   0.000	   0.000	   0.000
   0.012	   0.000	   0.000
   0.024	   0.000	   0.000
   0.037	   0.000	   0.000
   0.049	   0.000	   0.000
   0.061	   0.000	   0.000
   0.073	   0.000	   0.000
   0.085	   0.000	   0.000
   0.098	   0.000	   0.000
   0.110	   0.000	   0.000
   0.122	   0.000	   0.000
   0.134	   0.000	   0.000
   0.146	   0.000	   0.000
   0.159	   0.000	   0.000
   0.171	   0.000	   0.000
   0.183	   0.000	   0.000
   0.195	   0.000	   0.000
   0.208	   0.000	   0.000
   0.220	   0.000	   0.000
   0.232	   0.000	   0.000
   0.244	   0.000	   0.000
   0.256	   0.000	   0.000
   0.269	   0.000	   0.000
   0.281	   0.000	   0.000
   0.293	   0.000	   0.000
   0.305	   0.000	   0.000
   0.317	   0.000	   0.000
   0.330	   0.000	   0.000
   0.342	   0.000	   0.000
   0.354	   0.000	   0.000
   0.366	   0.000	   0.000
   0.378	   0.000	   0.000
   0.391	   0.000	   0.000
   0.403	   0.000	   0.000
   0.415	   0.000	   0.000
   0.427	   0.000	   0.000
   0.439	   0.000	   0.000
   0.452	   0.000	   0.000
   0.464	   0.000	   0.000
   0.476	   0.000	   0.000
   0.488	   0.000	   0.000
   0.500	   0.000	   0.000
   0.513	   0.000	   0.000
   0.525	   0.000	   0.000
   0.537	   0.000	   0.000
   0.549	   0.000	   0.000
   0.562	   0.000	   0.000
   0.574	   0.000	   0.000
   0.586	   0.000	   0.000
   0.598	   0.000	   0.000
   0.610	   0.000	   0.000
   0.623	   0.000	   0.000
   0.635	   0.000	   0.000
   0.647	   0.000	   0.000
   0.659	   0.000	   0.000
   0.671	   0.000	   0.000
   0.684	   0.000	   0.000
   0.696	   0.000	   0.000
   0.708	   0.000	   0.000
   0.720	   0.000	   0.000
   0.732	   0.000	   0.000
   0.745	   0.000	   0.000
   0.757	   0.000	   0.000
   0.769	   0.000	   0.000
   0.781	   0.000	   0.000
   0.793	   0.000	   0.000
   0.806	   0.000	   0.000
   0.818	   0.000	   0.000
   0.830	   0.000	   0.000
   0.842	   0.000	   0.000
   0.854	   0.000	   0.000
   0.867	   0.000	   0.000
   0.879	   0.000	   0.000
   0.891	   0.000	   0.000
   0.903	   0.000	   0.000
   0.916	   0.000	   0.000
   0.928	   0.000	   0.000
   0.940	   0.000	   0.000
   0.952	   0.000	   0.000
   0.964	   0.000	   0.000
   0.977	   0.000	   0.000
   0.989	   0.000	   0.000
   1.001	   0.000	   0.000
   1.013	   0.000	   0.000
   1.025	   0.000	   0.000
   1.038	   0.000	   0.000
   1.050	   0.000	   0.000
   1.062	   0.000	   0.000
   1.074	   0.000	   0.000
   1.086	   0.000	   0.000
   1.099	   0.000	   0.000
